Sexo;Estado;Cidade;Força;Posto Graduação;Possui Medalha de <br /> Mérito Desportivo Militar;Modalidade;Possui Bolsa Atleta;PAAR
Masculino;PR;Londrina;FAB;Terceiro Sargento;Não;Taekwondo;Sim;Sim
Masculino;;;EB;Soldado;Não;Triatlo;Sim;Sim
Masculino;BA;Salvador;MB;Terceiro Sargento;Não;Boxe;Não;Sim
Masculino;;;MB;Terceiro Sargento;Não;Vela;Não;Sim
Masculino;;;MB;Terceiro Sargento;Não;Vela;Não;Sim
Masculino;;;MB;Terceiro Sargento;Não;Vela;Não;Sim
Masculino;SP;São Paulo;MB;Terceiro Sargento;Sim;Boxe;Não;Sim
Feminino;;;MB;Terceiro Sargento;Não;Vela;Não;Sim
Feminino;;;FAB;Terceiro Sargento;Não;Basquete;Sim;Sim
Masculino;;;FAB;Terceiro Sargento;Não;Basquete;Sim;Sim
Feminino;;;EB;Cabo;Não;Atletismo;Sim;Sim
Feminino;;;FAB;Terceiro Sargento;Sim;Natação;Sim;Sim
Masculino;SP ;Sao paulo ;EB;Soldado;Não;Boxe;Sim;Sim
Feminino;RJ;C. De macacu;FAB;Terceiro Sargento;Não;Basquete;Não;Sim
Masculino;RJ;Niterói;MB;Terceiro Sargento;Não;Lutas Associadas (Wrestling);Sim;Sim
Masculino;SP;Santo André ;FAB;Terceiro Sargento;Não;Basquete;Sim;Sim
Masculino;SP;São Paulo;FAB;Terceiro Sargento;Sim;Atletismo;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Não;Vôlei;Sim;Sim
Masculino;;;EB;Terceiro Sargento;Não;Orientação;Não;Sim
Feminino;;;EB;Terceiro Sargento;Não;Boxe;Sim;Sim
Feminino;SP;Mogi Mirim ;EB;Terceiro Sargento;Não;Paraquedismo;Não;Sim
Feminino;;;FAB;Terceiro Sargento;Não;Basquete;Sim;Sim
Feminino;MG;Uberlândia;EB;Terceiro Sargento;Não;Vôlei;Não;Sim
Feminino;;;EB;Terceiro Sargento;Não;Orientação;Não;Sim
Feminino;RS;Porto Alegre;MB;Terceiro Sargento;Não;Judô;Sim;Sim
Feminino;;;MB;Terceiro Sargento;Sim;Vela;Não;Sim
Masculino;AM;Manaus;MB;Terceiro Sargento;Não;Boxe;Não;Sim
Feminino;SP;São José;MB;Terceiro Sargento;Não;Lutas Associadas (Wrestling);Sim;Sim
Masculino;RJ;Niterói;MB;Terceiro Sargento;Não;Lutas Associadas (Wrestling);Não;Sim
Masculino;BA;Camaçari;MB;Terceiro Sargento;Não;Boxe;Não;Sim
Feminino;;;EB;Terceiro Sargento;Não;Judô;Não;Sim
Feminino;;;FAB;Terceiro Sargento;Não;Basquete;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Não;Vôlei;Não;Sim
Masculino;;;EB;Terceiro Sargento;Não;Natação;Sim;Sim
Masculino;PR;Curitiba;FAB;Terceiro Sargento;Não;Triatlo;Sim;Sim
Feminino;SP;São José;MB;Terceiro Sargento;Sim;Lutas Associadas (Wrestling);Sim;Sim
Feminino;SP;Bauru;MB;Terceiro Sargento;Não;Judô;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Não;Vôlei;Sim;Sim
Feminino;SP;São Paulo;MB;Terceiro Sargento;Não;Judô;Sim;Sim
Feminino;SP;São Paulo;MB;Terceiro Sargento;Não;Judô;Sim;Sim
Feminino;;;MB;Terceiro Sargento;Não;Levantamento de Peso;Não;Sim
Masculino;SP;Guarulhos;MB;Terceiro Sargento;Não;Boxe;Não;Sim
Masculino;SP;Cotia;MB;Terceiro Sargento;Não;Taekwondo;Sim;Sim
Masculino;PR;Guarapuava;EB;Terceiro Sargento;Não;Tiro;Sim;Sim
Feminino;SP;Santos;MB;Terceiro Sargento;Sim;Taekwondo;Sim;Sim
Feminino;;;MB;Terceiro Sargento;Não;Levantamento de Peso;Não;Sim
Masculino;SP;São José Campos;MB;Terceiro Sargento;Não;Judô;Não;Sim
Feminino;;;MB;Terceiro Sargento;Não;Futebol;Não;Sim
Masculino;PR;Pato Branco;MB;Terceiro Sargento;Não;Taekwondo;Sim;Sim
Feminino;;;MB;Terceiro Sargento;Não;Nado Sincronizado;Não;Sim
Masculino;RJ;Rio de Janeiro;MB;Terceiro Sargento;Sim;Natação;Sim;Sim
Masculino;RJ;Rio de Janeiro;MB;Terceiro Sargento;Não;Boxe;Não;Sim
Masculino;SP;São Paulo;MB;Terceiro Sargento;Não;Boxe;Sim;Sim
Feminino;RJ;Rio de Janeiro;MB;Terceiro Sargento;Não;Judô;Não;Sim
Feminino;;;FAB;Terceiro Sargento;Não;Atletismo;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Sim;Natação;Sim;Sim
Feminino;DF;BRASILIA;MB;Terceiro Sargento;Não;Golfe;Não;Sim
Feminino;;;FAB;Terceiro Sargento;Não;Basquete;Sim;Sim
Masculino;;;EB;Terceiro Sargento;Não;Futebol;Não;Sim
Feminino;SP;Americana;FAB;Terceiro Sargento;Não;Basquete;Sim;Sim
Masculino;;;EB;Soldado;Não;Futebol;Não;Sim
Masculino;;;EB;Terceiro Sargento;Não;Natação;Sim;Sim
Masculino;RS;Santo Ângelo;FAB;Terceiro Sargento;Não;Basquete;Não;Sim
Masculino;SP;São Paulo ;FAB;Terceiro Sargento;Não;Basquete;Não;Sim
Feminino;;;FAB;Terceiro Sargento;Não;Atletismo;Sim;Sim
Feminino;;;FAB;Terceiro Sargento;Não;Basquete;Não;Sim
Masculino;55;Rio de Janeiro;EB;Soldado;Não;Futebol;Não;Sim
Masculino;;;EB;Soldado;Sim;Atletismo;Não;Sim
Masculino;RS;Caxias do Sul;MB;Terceiro Sargento;Não;Paradesporto;Não;Sim
Masculino;;;EB;Soldado;Não;Natação;Sim;Sim
Masculino;ES;João Neiva ;FAB;Terceiro Sargento;Não;Basquete;Não;Sim
Masculino;MS;Campo Grande;EB;Capitão;Sim;Judô;Não;Sim
Masculino;MG;Belo Horizonte;FAB;Terceiro Sargento;Não;Ginástica Artística;Não;Sim
Masculino;RS;Porto Alegre;FAB;Terceiro Sargento;Não;Ginástica Artística;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Não;Triatlo;Sim;Sim
Masculino;;;FAB;Terceiro Sargento;Não;Basquete;Não;Sim
Masculino;;;FAB;Terceiro Sargento;Não;Basquete;Não;Sim
Masculino;SP;São paulo;FAB;Terceiro Sargento;Não;Ciclismo MTB;Sim;Sim
Masculino;;;EB;Terceiro Sargento;Não;Atletismo;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Não;Triatlo;Sim;Sim
Masculino;RS;Porto Alegre;MB;Terceiro Sargento;Não;Judô;Sim;Sim
Masculino;SP;Boituva;MB;Terceiro Sargento;Não;Paraquedismo;Não;Sim
Feminino;;;MB;Terceiro Sargento;Não;Nado Sincronizado;Sim;Sim
Feminino;;;MB;Terceiro Sargento;Não;Nado Sincronizado;Sim;Sim
Feminino;;;FAB;Terceiro Sargento;Não;Vôlei de Praia;Sim;Sim
Feminino;MG;Belo Horizonte;MB;Terceiro Sargento;Não;Judô;Sim;Sim
Feminino;SP;PRESIDENTE PRUD;MB;Terceiro Sargento;Não;Atletismo;Sim;Sim
Feminino;;;MB;Terceiro Sargento;Não;Vela;Não;Sim
Masculino;;;MB;Terceiro Sargento;Não;Vela;Não;Sim
Masculino;RJ;Rio de Janeiro;MB;Terceiro Sargento;Não;Boxe;Sim;Sim
Feminino;SP;Cubatão;MB;Terceiro Sargento;Não;Lutas Associadas (Wrestling);Não;Sim
Masculino;SP;Bauru;MB;Terceiro Sargento;Não;Judô;Sim;Sim
Feminino;RJ;Itaboraí;MB;Terceiro Sargento;Não;Taekwondo;Sim;Sim
Feminino;;;MB;Terceiro Sargento;Não;Maratona;Não;Sim
Feminino;SP;Birigüi;FAB;Terceiro Sargento;Não;Basquete;Não;Sim
Feminino;;;MB;Terceiro Sargento;Não;Orientação;Não;Sim
Masculino;;;EB;Terceiro Sargento;Não;Natação;Sim;Sim
Masculino;;;EB;Terceiro Sargento;Não;Futebol;Não;Sim
Masculino;;;FAB;Terceiro Sargento;Sim;Tiro com Arco;Sim;Sim
